
  Qwen3.6-27B UD-Q6_K_XL-MTP (Coding, Vision, KV q8/q4, 128K, Speculative) auf http://127.0.0.1:8080/

0.00.457.785 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.472.011 I srv    load_model: loading model 'E:\Coding\custom-rag\data\models\qwen3.6-27b-mtp\Qwen3.6-27B-UD-Q6_K_XL-mtp.gguf'
0.01.623.350 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 99, abort
0.18.803.951 W load_hparams: Qwen-VL models require at minimum 1024 image tokens to function correctly on grounding tasks
0.18.803.957 W load_hparams: if you encounter problems with accuracy, try adding --image-min-tokens 1024
0.18.803.957 W load_hparams: more info: https://github.com/ggml-org/llama.cpp/issues/16842

0.21.712.013 I srv    load_model: loaded multimodal model, 'E:\Coding\custom-rag\data\models\qwen3.6-27b\mmproj-Qwen3.6-27B-BF16.gguf'
0.21.826.503 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 172032, kv_unified = 'true'
0.21.968.868 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.21.969.060 I srv  llama_server: model loaded
0.21.969.073 I srv  llama_server: listening on http://127.0.0.1:8080
0.54.815.824 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.54.819.493 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
1.05.681.706 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2048, progress = 0.07, t =  10.86 s / 188.55 tokens per second
1.09.814.880 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.13, t =  15.00 s / 273.15 tokens per second
1.14.049.370 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6144, progress = 0.20, t =  19.23 s / 319.51 tokens per second
1.18.354.606 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.26, t =  23.53 s / 348.08 tokens per second
1.22.778.634 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.33, t =  27.96 s / 366.25 tokens per second
1.27.294.460 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.39, t =  32.47 s / 378.39 tokens per second
1.31.910.555 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.46, t =  37.09 s / 386.51 tokens per second
1.36.579.000 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.52, t =  41.76 s / 392.34 tokens per second
1.41.380.716 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18432, progress = 0.59, t =  46.56 s / 395.87 tokens per second
